"t (s)","Inclination (deg)","Rotation (deg)"
6.840219992e1,1.115298573e1,-8.932757820e0
6.890353092e1,1.977604062e0,-3.832936857e1
6.940486592e1,1.900155139e0,-3.994051450e1
6.990619692e1,4.444731297e0,-1.981954690e1
7.040752392e1,9.646456540e0,-9.152769220e0
7.090885492e1,1.136410535e1,-9.227740926e0
7.141018617e1,1.845916149e0,-3.193157946e1
7.191151617e1,1.999333868e0,-3.704210022e1
7.291417792e1,1.217380391e1,-9.520003598e0
7.341551083e1,4.938637822e0,-1.427890583e1
7.391684183e1,1.781844399e0,-4.583003818e1
7.441816846e1,1.999991723e0,-3.557485290e1
7.491949846e1,6.492813078e0,-1.306568881e1
7.542083233e1,1.300232871e1,-6.394233435e0
7.592216233e1,4.942624653e0,-1.613826027e1
7.642348942e1,1.870225518e0,-3.879437656e1
7.692481942e1,5.211703888e0,-1.728622000e1
7.742614933e1,1.212938170e1,-8.545447506e0
7.792747933e1,3.470879601e0,-2.079100822e1
7.842881179e1,1.902042736e0,-3.829847970e1
7.893014179e1,4.621673010e0,-1.944725098e1
7.943146842e1,1.148497850e1,-8.010770975e0
8.043412667e1,1.796466673e0,-3.913252807e1
8.093545567e1,3.653993102e0,-2.261406287e1
8.143678583e1,9.917246904e0,-8.736505818e0
8.193811483e1,1.009829661e1,-9.891818162e0
8.243944479e1,1.721702277e0,-3.760168144e1
8.294077379e1,2.237099829e0,-3.597389121e1
8.344210654e1,7.771563650e0,-1.128686639e1
8.394343554e1,1.029457103e1,-8.192641371e0
8.444476154e1,1.801464986e0,-4.511167091e1
8.494609054e1,1.841655173e0,-4.349611804e1
8.544741917e1,4.641243230e0,-1.997103089e1
8.594874817e1,1.357383136e1,-8.536279397e0
8.645007808e1,3.406609613e0,-1.919634466e1
8.695140708e1,1.786807278e0,-4.414840308e1
8.745273508e1,2.322276540e0,-3.526506252e1
8.845539179e1,7.135366228e0,-1.138997999e1
8.895672079e1,8.181284826e-1,-3.296837370e1
