"t (s),""Inclination (deg)"",""Rotation (deg)"""
6.457495300e1,7.745975167e-1,-2.513006744e1
6.508363200e1,7.691073711e-1,-2.489509500e1
6.559232700e1,7.750676556e-1,-2.459586113e1
6.610104800e1,7.774684105e-1,-2.470570212e1
6.660976692e1,7.768093239e-1,-2.509271547e1
6.711846592e1,7.811341618e-1,-2.515537243e1
6.762715638e1,7.792865836e-1,-2.526596511e1
6.813586138e1,7.714218301e-1,-2.497829092e1
6.915325963e1,7.778296361e-1,-2.526406444e1
6.966196913e1,7.733259030e-1,-2.466765729e1
7.017062813e1,7.715303348e-1,-2.438843491e1
7.067927679e1,7.775663166e-1,-2.479577235e1
7.118793379e1,7.739359926e-1,-2.510578684e1
7.169658725e1,7.744817473e-1,-2.498382290e1
7.220526025e1,7.784296129e-1,-2.501230255e1
7.271392850e1,7.802635277e-1,-2.488581632e1
7.322262950e1,7.750822518e-1,-2.477274172e1
7.373131067e1,7.751419305e-1,-2.504547920e1
7.423998067e1,7.718044552e-1,-2.483268614e1
7.474864188e1,7.711710081e-1,-2.486202724e1
7.525732488e1,7.787541882e-1,-2.519431853e1
7.576602042e1,7.812180551e-1,-2.493813010e1
7.627469342e1,7.759640229e-1,-2.513647666e1
7.678336042e1,7.772174342e-1,-2.495604864e1
7.729204342e1,7.730052637e-1,-2.541454383e1
7.780074513e1,7.757594432e-1,-2.448750555e1
7.830942113e1,7.781754564e-1,-2.480974475e1
7.881813192e1,7.746329330e-1,-2.546121077e1
7.983549592e1,7.696600384e-1,-2.496070735e1
8.034415792e1,7.714103325e-1,-2.503581151e1
8.085280838e1,7.674548969e-1,-2.518847509e1
8.136146138e1,7.751265233e-1,-2.509626504e1
8.187013888e1,7.758046003e-1,-2.498249636e1
8.237884025e1,7.832130392e-1,-2.488968345e1
8.288753525e1,7.755609299e-1,-2.475196988e1
8.339623504e1,7.778613314e-1,-2.490517937e1
8.390493604e1,7.773208959e-1,-2.541126960e1
8.441367929e1,7.807469826e-1,-2.465413016e1
8.492243229e1,7.744748166e-1,-2.497759423e1
8.543117254e1,7.742248855e-1,-2.493995773e1
8.593988354e1,7.757877781e-1,-2.529013975e1
8.644862425e1,7.756433398e-1,-2.503086693e1
8.695737625e1,7.874592320e-1,-2.417591394e1
8.746612342e1,7.807728510e-1,-2.491466797e1
8.797486742e1,7.740051756e-1,-2.482104714e1
8.848358004e1,7.735804300e-1,-2.487661351e1
8.899228304e1,7.817431031e-1,-2.516232843e1
8.950096125e1,7.768222627e-1,-2.477522921e1
9.000963225e1,7.684505220e-1,-2.569642609e1
9.051832529e1,7.839951846e-1,-2.498171888e1
9.153573900e1,7.750886774e-1,-2.528772372e1
9.204444800e1,7.774586074e-1,-2.485937465e1
9.255312813e1,7.733797647e-1,-2.498731948e1
9.306179713e1,7.760905127e-1,-2.455707105e1
9.357048042e1,7.862492335e-1,-2.487568457e1
9.407916542e1,7.793871472e-1,-2.467167468e1
9.458785092e1,7.776262641e-1,-2.495593403e1
9.509653192e1,7.751348973e-1,-2.513045317e1
9.560523250e1,7.786069134e-1,-2.538544396e1
9.611391850e1,7.811143066e-1,-2.533963272e1
9.662261363e1,7.709580573e-1,-2.534921698e1
9.713132963e1,7.828218929e-1,-2.495168670e1
9.764005017e1,7.856817760e-1,-2.500582505e1
9.814876717e1,7.733800580e-1,-2.471878268e1
9.865751388e1,7.740497140e-1,-2.514099755e1
9.916620688e1,7.783855884e-1,-2.462625153e1
9.967488975e1,7.749662729e-1,-2.494503198e1
1.001835627e2,7.766603713e-1,-2.503345552e1
1.006922254e2,7.756355072e-1,-2.503862432e1
1.012009264e2,7.739451458e-1,-2.473055782e1
1.017095910e2,7.734721416e-1,-2.468140198e1
1.022182800e2,7.732287113e-1,-2.517547444e1
1.032356975e2,7.876679227e-1,-2.447181769e1
1.037444162e2,7.789714314e-1,-2.507125386e1
1.042531162e2,7.806929958e-1,-2.497950949e1
1.047618353e2,7.812817356e-1,-2.494188308e1
1.052705603e2,7.801762955e-1,-2.534581525e1
1.057792542e2,7.774364772e-1,-2.495008288e1
1.062879462e2,7.786240609e-1,-2.477213404e1
1.067966339e2,7.785437172e-1,-2.506355974e1
1.073053099e2,7.774732403e-1,-2.557986213e1
1.078140209e2,7.818423818e-1,-2.501674111e1
1.083227039e2,7.800152162e-1,-2.497114808e1
1.088313740e2,7.811213177e-1,-2.532324433e1
1.093400160e2,7.799879656e-1,-2.475024571e1
1.098486759e2,7.809761796e-1,-2.506585874e1
1.103573899e2,7.767517564e-1,-2.512032960e1
1.108660944e2,7.777227534e-1,-2.506598184e1
1.113747854e2,7.755227276e-1,-2.542399458e1
1.118834869e2,7.759908377e-1,-2.499494166e1
1.123921719e2,7.766374373e-1,-2.512180316e1
1.129008485e2,7.725415608e-1,-2.480481891e1
1.134095276e2,7.732346487e-1,-2.498638832e1
1.139182166e2,7.834558290e-1,-2.487244131e1
1.144268883e2,7.719607599e-1,-2.551248224e1
1.149355643e2,7.754838794e-1,-2.476492734e1
1.159528678e2,7.726578158e-1,-2.464101293e1
1.164615245e2,7.748282649e-1,-2.509737355e1
1.169701895e2,7.775335196e-1,-2.500708809e1
1.174788876e2,7.794065109e-1,-2.488202979e1
1.179876006e2,7.707040173e-1,-2.523932250e1
1.184962948e2,7.711296259e-1,-2.439020581e1
1.190050008e2,7.766860275e-1,-2.464145030e1
1.195137148e2,7.754091438e-1,-2.499131216e1
1.200224038e2,7.713096364e-1,-2.473246309e1
1.205310773e2,7.806708108e-1,-2.491679602e1
1.210397603e2,7.744449619e-1,-2.546443975e1
1.215484681e2,7.809258989e-1,-2.494366564e1
1.220571951e2,7.796200312e-1,-2.500588999e1
1.225659125e2,7.718274425e-1,-2.483384542e1
1.230746145e2,7.805649784e-1,-2.457954592e1
1.235833230e2,7.844739739e-1,-2.440838039e1
1.240920310e2,7.808359958e-1,-2.465398006e1
1.246007057e2,7.787683057e-1,-2.528414630e1
1.251093957e2,7.800344347e-1,-2.499841343e1
1.256180606e2,7.785723333e-1,-2.439333709e1
1.266354201e2,7.784544719e-1,-2.481919069e1
1.271440761e2,7.787966310e-1,-2.492925024e1
1.276527564e2,7.747446364e-1,-2.501604798e1
1.281614424e2,7.806486679e-1,-2.478652089e1
1.286701075e2,7.862381039e-1,-2.417383122e1
1.291787825e2,7.868167254e-1,-2.467467841e1
1.296874725e2,7.780779882e-1,-2.461876534e1
1.301961575e2,7.724219401e-1,-2.473065524e1
1.307048379e2,7.776814434e-1,-2.474610064e1
1.312135069e2,7.784592869e-1,-2.477328302e1
1.317221800e2,7.760557174e-1,-2.485312679e1
1.322308520e2,7.737458035e-1,-2.493312935e1
1.327395483e2,7.720268160e-1,-2.502306460e1
1.332482623e2,7.766019505e-1,-2.462991185e1
1.337569930e2,7.796653997e-1,-2.460900307e1
1.342657010e2,7.751698509e-1,-2.452374360e1
1.347744005e2,7.777886106e-1,-2.426907124e1
1.352831175e2,7.827536085e-1,-2.464871052e1
1.357918489e2,7.774345747e-1,-2.516980607e1
1.363005909e2,7.797655637e-1,-2.488453879e1
1.368093066e2,7.690717671e-1,-2.492922730e1
1.373180116e2,7.720945005e-1,-2.474927602e1
1.378267521e2,7.674788052e-1,-2.435059423e1
1.383355071e2,7.798398157e-1,-2.472781299e1
1.393529465e2,7.807325109e-1,-2.481236056e1
1.398616393e2,7.789624734e-1,-2.456651353e1
1.403703153e2,7.717265147e-1,-2.459186951e1
1.408789875e2,7.701510415e-1,-2.434172858e1
1.413876735e2,7.753880702e-1,-2.452530564e1
1.418964110e2,7.753874337e-1,-2.479183540e1
1.424051610e2,7.757486344e-1,-2.463295119e1
1.429138778e2,7.745168355e-1,-2.507503287e1
1.434225678e2,7.781956370e-1,-2.469478685e1
1.439312558e2,7.785924682e-1,-2.430991032e1
1.444399369e2,7.759954147e-1,-2.468516288e1
1.449485959e2,7.732870335e-1,-2.484958856e1
1.454572689e2,7.743633092e-1,-2.449706359e1
1.459659399e2,7.752550704e-1,-2.482497093e1
1.464746330e2,7.707307388e-1,-2.503180739e1
1.469833360e2,7.812748220e-1,-2.494888194e1
1.474920330e2,7.784594895e-1,-2.446533912e1
1.480007130e2,7.711348276e-1,-2.518418063e1
1.485094000e2,7.745343839e-1,-2.449410203e1
1.490180860e2,7.706613047e-1,-2.446481313e1
1.500354584e2,7.725243430e-1,-2.499307045e1
1.505441676e2,7.721727153e-1,-2.456451723e1
1.510528806e2,7.824451259e-1,-2.465015324e1
1.515616180e2,7.759557417e-1,-2.532266357e1
1.520703100e2,7.751696324e-1,-2.465646720e1
1.525790071e2,7.810733825e-1,-2.501186039e1
1.530877361e2,7.756922503e-1,-2.460888209e1
1.535964504e2,7.784901173e-1,-2.504252294e1
1.541051434e2,7.757040237e-1,-2.487730900e1
1.546138359e2,7.719986069e-1,-2.507645697e1
1.551225329e2,7.786624462e-1,-2.488196494e1
1.556312113e2,7.786533043e-1,-2.509223039e1
1.561399123e2,7.764665130e-1,-2.478737897e1
1.566486094e2,7.828306201e-1,-2.437078679e1
1.571572994e2,7.737979819e-1,-2.475004757e1
1.576659722e2,7.773525407e-1,-2.503267921e1
1.581746742e2,7.795519169e-1,-2.448310253e1
1.586833840e2,7.744959444e-1,-2.515139379e1
1.591920700e2,7.757013001e-1,-2.497435285e1
1.597007312e2,7.783043670e-1,-2.421948533e1
1.602093812e2,7.780361542e-1,-2.472071141e1
1.607180418e2,7.707048492e-1,-2.476486530e1
1.617352991e2,7.732955012e-1,-2.486471217e1
1.622439431e2,7.737919730e-1,-2.477567447e1
1.627525831e2,7.780622484e-1,-2.465380314e1
1.632612101e2,7.757194853e-1,-2.472427641e1
1.637698287e2,7.760838520e-1,-2.474044775e1
1.642784398e2,7.748419852e-1,-2.460674559e1
