"t (s),""Inclination (deg)"",""Rotation (deg)"""
2.838242116e2,7.708301787e-1,-2.455763337e1
2.843329376e2,7.746222605e-1,-2.483460440e1
2.848416200e2,7.763797484e-1,-2.447768803e1
2.853503170e2,7.717685624e-1,-2.534963989e1
2.858590104e2,7.758133683e-1,-2.497973420e1
2.863677184e2,7.678413834e-1,-2.499315650e1
2.868764348e2,7.717886749e-1,-2.495198682e1
2.873851368e2,7.720636894e-1,-2.476336647e1
2.878938238e2,7.763278870e-1,-2.511364893e1
2.884024898e2,7.740624709e-1,-2.479444424e1
2.889111625e2,7.810544046e-1,-2.486604321e1
2.894198225e2,7.755142198e-1,-2.494562094e1
2.899284943e2,7.761912297e-1,-2.457925195e1
2.904371923e2,7.691727665e-1,-2.480781681e1
2.914545585e2,7.769242574e-1,-2.487768082e1
2.919632066e2,7.726359747e-1,-2.486756540e1
2.924718626e2,7.702476307e-1,-2.434542223e1
2.929805178e2,7.766988107e-1,-2.506544174e1
2.934891618e2,7.670147647e-1,-2.487470520e1
2.939978078e2,7.779137354e-1,-2.447772814e1
2.945064758e2,7.749569089e-1,-2.554424575e1
2.950151418e2,7.768853812e-1,-2.481050598e1
2.955238358e2,7.711673102e-1,-2.427327561e1
2.960325168e2,7.739736480e-1,-2.439008368e1
2.965411947e2,7.738523640e-1,-2.495193736e1
2.970498841e2,7.749192816e-1,-2.473453621e1
2.975586004e2,7.725195762e-1,-2.504842673e1
2.980673014e2,7.736186632e-1,-2.471799222e1
2.985760023e2,7.763408215e-1,-2.495191204e1
2.990847173e2,7.800515770e-1,-2.485899789e1
2.995934335e2,7.733080615e-1,-2.473685256e1
3.001021455e2,7.759479715e-1,-2.476688756e1
3.006108239e2,7.794384949e-1,-2.499901181e1
3.011195149e2,7.768373855e-1,-2.505683901e1
3.016282066e2,7.680577797e-1,-2.489304218e1
3.026455904e2,7.742692751e-1,-2.550172478e1
3.031542864e2,7.750018938e-1,-2.548631640e1
3.036629770e2,7.768985142e-1,-2.433230778e1
3.041716670e2,7.771065260e-1,-2.487110885e1
3.046803609e2,7.732667387e-1,-2.504762573e1
3.051890449e2,7.746319929e-1,-2.498536919e1
3.056977220e2,7.787399821e-1,-2.513629473e1
3.062063780e2,7.744716816e-1,-2.514346874e1
3.067150284e2,7.808329512e-1,-2.509668470e1
3.072237124e2,7.705940628e-1,-2.529134746e1
3.077323617e2,7.752475537e-1,-2.494122384e1
3.082410157e2,7.786095080e-1,-2.454150929e1
3.087496687e2,7.714869409e-1,-2.524145391e1
3.092583217e2,7.754758649e-1,-2.474992329e1
3.097669969e2,7.769524978e-1,-2.502540197e1
3.102756979e2,7.822425201e-1,-2.451571972e1
3.107843620e2,7.750957281e-1,-2.476963303e1
3.112929930e2,7.773839778e-1,-2.496211588e1
3.118016211e2,7.741050127e-1,-2.519909004e1
3.123102691e2,7.741501496e-1,-2.465193264e1
3.128189370e2,7.681939965e-1,-2.523295140e1
3.138362766e2,7.717968991e-1,-2.459429099e1
3.143449686e2,7.818858487e-1,-2.513313820e1
3.148536360e2,7.769116407e-1,-2.502685996e1
3.153622920e2,7.773559222e-1,-2.502440205e1
3.158709172e2,7.754930935e-1,-2.542006131e1
3.163795593e2,7.756110216e-1,-2.485193797e1
3.168882041e2,7.699425229e-1,-2.459276199e1
3.173968221e2,7.720897788e-1,-2.455734968e1
3.179054384e2,7.740518266e-1,-2.509461507e1
3.184140684e2,7.706596386e-1,-2.539728930e1
3.189226917e2,7.728433798e-1,-2.539714575e1
3.194312817e2,7.741406001e-1,-2.464739734e1
3.199399020e2,7.751796754e-1,-2.465724434e1
3.204485470e2,7.688583517e-1,-2.517027514e1
3.209572154e2,7.718757712e-1,-2.440282995e1
3.214659114e2,7.763079192e-1,-2.485329649e1
3.219745923e2,7.781134923e-1,-2.545201347e1
3.224832643e2,7.742208475e-1,-2.450128785e1
3.229919461e2,7.784475454e-1,-2.448074660e1
3.235006461e2,7.732746264e-1,-2.553296056e1
3.240093244e2,7.743761744e-1,-2.487899434e1
3.245180214e2,7.709470442e-1,-2.494875874e1
3.250267058e2,7.730035062e-1,-2.506574896e1
3.255353988e2,7.775723492e-1,-2.490312564e1
3.260441161e2,7.806201258e-1,-2.496928447e1
3.265528161e2,7.751845342e-1,-2.504547920e1
3.270615364e2,7.817782758e-1,-2.464954853e1
3.280789658e2,7.741318685e-1,-2.480315937e1
3.285876813e2,7.771470982e-1,-2.510464096e1
3.290964093e2,7.739195628e-1,-2.547052023e1
3.296051260e2,7.826693863e-1,-2.509512414e1
3.301138470e2,7.742449686e-1,-2.523847222e1
3.306225742e2,7.834252845e-1,-2.481759972e1
3.311312832e2,7.811493649e-1,-2.519561530e1
3.316399913e2,7.811534253e-1,-2.500591406e1
3.321487173e2,7.841758941e-1,-2.528116479e1
3.326574517e2,7.787295827e-1,-2.500389132e1
3.331661767e2,7.833152683e-1,-2.464211339e1
3.336748791e2,7.833430805e-1,-2.511444316e1
3.341835861e2,7.807418130e-1,-2.507434588e1
3.346922625e2,7.758295067e-1,-2.508721837e1
3.352009655e2,7.812730079e-1,-2.452375212e1
3.357096860e2,7.806596484e-1,-2.530874881e1
3.362183770e2,7.827637744e-1,-2.429562550e1
3.367270903e2,7.812621656e-1,-2.473079898e1
3.372357833e2,7.738374998e-1,-2.507600745e1
3.377444621e2,7.751535046e-1,-2.497370556e1
3.382531521e2,7.703631507e-1,-2.445306421e1
3.387618756e2,7.740276946e-1,-2.534375269e1
3.397792970e2,7.800742966e-1,-2.541693734e1
3.402880100e2,7.799307001e-1,-2.518450646e1
3.407967390e2,7.819864930e-1,-2.486135280e1
3.413054900e2,7.790818146e-1,-2.505137662e1
3.418142284e2,7.707831357e-1,-2.500367885e1
3.423229384e2,7.789246473e-1,-2.439482512e1
3.428316641e2,7.729242516e-1,-2.505781050e1
3.433403541e2,7.769892759e-1,-2.460347424e1
3.438490575e2,7.675484248e-1,-2.517610491e1
3.443577315e2,7.746233423e-1,-2.453717474e1
3.448664189e2,7.804194298e-1,-2.465136319e1
